LOC_ID,LOC_NAME,AUSPICE,STR_NO,STREET,UNIT,PCODE,ward,PHONE,bldg_type,bldgname,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,SUBSIDY,GC_GEOID,LONGITUDE,LATITUDE,run_date
1013,Lakeshore Community Child Care Centre,Non Profit Agency,101,SEVENTH ST,,M8V 3B5,6,416-394-7601,Public Elementary School,Seventh Street Public School,0,20,32,39,60,151,Y,1031242,-79.50463054,43.59991069,17-Sep-18
1014,Alternative Primary School Parent Group,Non Profit Agency,1100,SPADINA RD,,M5N 2M6,16,416-322-5385,Public Elementary School,North Preparatory Public School,0,0,12,26,45,83,Y,870542,-79.42038828,43.70549092,17-Sep-18
1015,Cardinal Leger Child Care Centre (Scarborough),Non Profit Agency,600,MORRISH RD,,M1C 4Y1,44,416-287-0578,Catholic Elementary School,Cardinal Leger Catholic School,0,10,16,26,50,102,Y,365821,-79.17571109,43.79310442,17-Sep-18
1016,George Brown - Richmond Adelaide Childcare Centre,Non Profit Agency,130,ADELAIDE ST W,MEZZANINE LEVEL,M5H 3P5,28,416-415-2453,Other,,10,15,32,0,0,57,Y,10222910,-79.38381243,43.64969099,17-Sep-18
1017,Woodland Nursery School (Warden Woods Community Centre),Non Profit Agency,1,FIRVALLEY CRT,,M1L 1N8,35,416-694-1138x157,High Rise Apartment,,0,10,16,0,0,26,N,334543,-79.28102863,43.70295236,17-Sep-18
1021,Centennial College Progress Campus Child Care Centre,Non Profit Agency,941,PROGRESS AVE,,M1G 3T8,38,416-289-5000x2110,Community College/University,Centennial College Of Applied Arts & Technology,10,20,16,0,0,46,Y,13503978,-79.22702962,43.78527327,17-Sep-18
1029,Air-O-Down Child Care Centre,Non Profit Agency,7,HAWKSDALE RD,,M3K 1W3,9,416-633-2014,Public High School,Downsview Secondary School,10,15,24,0,0,49,Y,525550,-79.47966088,43.73040435,17-Sep-18
1031,Cedarbrae Day Nurseries (20 Greencrest),Commercial Agency,20,GREENCREST CIRCT,,M1G 1B8,43,416-431-2504,High Rise Apartment,Greencrest Property,0,0,16,12,18,46,Y,340155,-79.22343125,43.75836953,17-Sep-18
1036,A B C  Day Nursery,Commercial Agency,145,MARLEE AVE,,M6B 3H3,15,416-789-5011,High Rise Apartment,,10,15,24,20,25,94,Y,67882,-79.44103039,43.70326335,17-Sep-18
1037,Tiago Avenue Community Child Care,Non Profit Agency,145,TIAGO AVE,,M4B 2A6,31,416-285-5644,Public Elementary School,Victoria Park Public School,0,0,21,0,20,41,Y,3259557,-79.29815396,43.71269778,17-Sep-18
1041,Ledbury Park Child Care Program,Non Profit Agency,95,FALKIRK ST,,M5M 4K1,16,416-782-2539,Public Elementary School,Ledbury Park Public School,0,0,24,39,60,123,Y,7110840,-79.42732589,43.72739907,17-Sep-18
1044,Alderwood Action After School,Non Profit Agency,544,HORNER AVE,,M8W 2C2,6,416-259-7738,Public Elementary School,Sir Adam Beck School,0,15,32,52,90,189,Y,6735862,-79.54816511,43.60161044,17-Sep-18
1045,Children's Village #1 Day Care Centre,Commercial Agency,1050,MARKHAM RD,,M1H 2Y7,38,416-438-3355,High Rise Apartment,,10,10,32,12,30,94,Y,6576197,-79.23157073,43.77437348,17-Sep-18
1046,Ferncliff Daycare And After School Group,Non Profit Agency,128,FERN AVE,,M6R 1K3,14,416-588-1463,Public Elementary School,Ferncliff Public School,0,0,32,52,80,164,Y,8007871,-79.4461161,43.64518889,17-Sep-18
1055,Balmy Beach Community Day Care Centre,Non Profit Agency,14,PINE AVE,ROOM 107,M4E 1L6,32,416-698-5668,Public Elementary School,Balmy Beach Public School,0,0,24,52,78,154,Y,7667200,-79.28982694,43.67643591,17-Sep-18
1059,Elder Tree Montessori,Commercial Agency,46,MIMICO AVE,,M8V 1R1,6,416-255-4748,Commercial Building,Memorial Hall 1916-1918,0,10,14,0,0,24,N,7560936,-79.49150464,43.6135977,17-Sep-18
